Country,iso3,cov,agevac,vac_price,vac_delivery,vac_delivery2,cecx_cost,dw_dx,dw_seq,dw_term,hpv1618_prop,disc.cost ,disc.ben
Malta,MLT,100,10,30.81,5.257072661,5.38891541,1509.752132,0.288,0.049,0.54,72.8,3,3
Netherlands,NLD,100,10,30.81,5.257072661,5.38891541,1397.969398,0.288,0.049,0.54,72.8,3,3
New Zealand,NZL,100,10,30.81,5.257072661,5.38891541,1649.304562,0.288,0.049,0.54,78.2,3,3
Norway,NOR,100,10,30.81,5.257072661,5.38891541,1406.597508,0.288,0.049,0.54,72.8,3,3
Oman,OMN,100,10,30.81,5.257072661,5.38891541,661.6885494,0.288,0.049,0.54,77.5,3,3
Poland,POL,100,10,30.81,5.257072661,5.38891541,625.2991694,0.288,0.049,0.54,72.8,3,3
Portugal,PRT,100,10,30.81,5.257072661,5.38891541,1433.631799,0.288,0.049,0.54,72.8,3,3
Qatar,QAT,100,10,30.81,5.257072661,5.38891541,660.360509,0.288,0.049,0.54,77.5,3,3
Saudi Arabia,SAU,100,10,30.81,5.257072661,5.38891541,704.8075207,0.288,0.049,0.54,77.5,3,3
Singapore,SGP,100,10,30.81,5.257072661,5.38891541,1539.139624,0.288,0.049,0.54,71.6,3,3
Slovakia,SVK,100,10,30.81,5.257072661,5.38891541,601.2336603,0.288,0.049,0.54,72.8,3,3
Slovenia,SVN,100,10,30.81,5.257072661,5.38891541,1416.545845,0.288,0.049,0.54,72.8,3,3
Spain,ESP,100,10,30.81,5.257072661,5.38891541,1355.720558,0.288,0.049,0.54,72.8,3,3
Sweden,SWE,100,10,30.81,5.257072661,5.38891541,1461.567745,0.288,0.049,0.54,72.8,3,3
Switzerland,CHE,100,10,30.81,5.257072661,5.38891541,1293.571356,0.288,0.049,0.54,72.8,3,3
Trinidad and Tobago,TTO,100,10,30.81,5.257072661,5.38891541,717.1881292,0.288,0.049,0.54,68.2,3,3
United Arab Emirates,ARE,100,10,30.81,5.257072661,5.38891541,708.1560553,0.288,0.049,0.54,77.5,3,3
United Kingdom of Great Britain and Northern Ireland,GBR,100,10,30.81,5.257072661,5.38891541,1461.167258,0.288,0.049,0.54,72.8,3,3
United States of America,USA,100,10,30.81,5.257072661,5.38891541,1999.654177,0.288,0.049,0.54,78.8,3,3
